respondent_id;question;response
118803434703;How would you classify your primary affiliation?;Academic (university/educational) 
118802743421;How would you classify your primary affiliation?;Academic (university/educational) 
118802456952;How would you classify your primary affiliation?;Scientific (research institute)
118801275003;How would you classify your primary affiliation?;Academic (university/educational) 
118801200761;How would you classify your primary affiliation?;Academic (university/educational) 
118801135035;How would you classify your primary affiliation?;Scientific (research institute)
118801110180;How would you classify your primary affiliation?;Academic (university/educational) 
118801082106;How would you classify your primary affiliation?;Scientific (research institute)
118801074734;How would you classify your primary affiliation?;Academic (university/educational) 
118801061185;How would you classify your primary affiliation?;Academic (university/educational) 
118801056273;How would you classify your primary affiliation?;Academic (university/educational) 
118801047535;How would you classify your primary affiliation?;Scientific (research institute)
118801044997;How would you classify your primary affiliation?;Academic (university/educational) 
118801041617;How would you classify your primary affiliation?;Scientific (research institute)
118801041047;How would you classify your primary affiliation?;Scientific (research institute)
118797829762;How would you classify your primary affiliation?;NA
118796453735;How would you classify your primary affiliation?;Consultancy
118792325136;How would you classify your primary affiliation?;Academic (university/educational) 
118790874163;How would you classify your primary affiliation?;Scientific (research institute)
118790522326;How would you classify your primary affiliation?;Academic (university/educational) 
118790091455;How would you classify your primary affiliation?;Scientific (research institute)
118789445873;How would you classify your primary affiliation?;Academic (university/educational) 
118789329246;How would you classify your primary affiliation?;Academic (university/educational) 
118789159326;How would you classify your primary affiliation?;Academic (university/educational) 
118789097299;How would you classify your primary affiliation?;Scientific (research institute)
118788875558;How would you classify your primary affiliation?;Academic (university/educational) 
118788836377;How would you classify your primary affiliation?;Consultancy
118788834047;How would you classify your primary affiliation?;Scientific (research institute)
118788729742;How would you classify your primary affiliation?;Academic (university/educational) 
118788670632;How would you classify your primary affiliation?;Academic (university/educational) 
118788652694;How would you classify your primary affiliation?;Academic (university/educational) 
118788632464;How would you classify your primary affiliation?;Scientific (research institute)
118788625159;How would you classify your primary affiliation?;Academic (university/educational) 
118788622481;How would you classify your primary affiliation?;Public administration
118788607461;How would you classify your primary affiliation?;Scientific (research institute)
118788602768;How would you classify your primary affiliation?;Academic (university/educational) 
118788565028;How would you classify your primary affiliation?;Scientific (research institute)
118788514469;How would you classify your primary affiliation?;Academic (university/educational) 
118788511396;How would you classify your primary affiliation?;Consultancy
118788507970;How would you classify your primary affiliation?;Scientific (research institute)
118788504656;How would you classify your primary affiliation?;Scientific (research institute)
118788503983;How would you classify your primary affiliation?;Scientific (research institute)
118788501019;How would you classify your primary affiliation?;Academic (university/educational) 
118788499643;How would you classify your primary affiliation?;Scientific (research institute)
118788497240;How would you classify your primary affiliation?;Scientific (research institute)
118783552654;How would you classify your primary affiliation?;Scientific (research institute)
118783048283;How would you classify your primary affiliation?;Academic (university/educational) 
118782513976;How would you classify your primary affiliation?;Scientific (research institute)
118781570211;How would you classify your primary affiliation?;Academic (university/educational) 
118780861448;How would you classify your primary affiliation?;Scientific (research institute)
118780673706;How would you classify your primary affiliation?;Academic (university/educational) 
118780139487;How would you classify your primary affiliation?;Scientific (research institute)
118779903990;How would you classify your primary affiliation?;Academic (university/educational) 
118779809291;How would you classify your primary affiliation?;NGO
118779794570;How would you classify your primary affiliation?;Academic (university/educational) 
118779788733;How would you classify your primary affiliation?;Public administration
118779747215;How would you classify your primary affiliation?;Academic (university/educational) 
118779706639;How would you classify your primary affiliation?;Academic (university/educational) 
118779296993;How would you classify your primary affiliation?;Scientific (research institute)
118779291561;How would you classify your primary affiliation?;Scientific (research institute)
118779290690;How would you classify your primary affiliation?;Scientific (research institute)
118779275557;How would you classify your primary affiliation?;Scientific (research institute)
118779242589;How would you classify your primary affiliation?;Scientific (research institute)
118779227922;How would you classify your primary affiliation?;Academic (university/educational) 
118779217829;How would you classify your primary affiliation?;Academic (university/educational) 
118779214648;How would you classify your primary affiliation?;Academic (university/educational) 
118779208150;How would you classify your primary affiliation?;Academic (university/educational) 
118779190909;How would you classify your primary affiliation?;Academic (university/educational) 
118779182177;How would you classify your primary affiliation?;Scientific (research institute)
118779176534;How would you classify your primary affiliation?;Scientific (research institute)
118779176001;How would you classify your primary affiliation?;Public administration
118779175870;How would you classify your primary affiliation?;Scientific (research institute)
118779168565;How would you classify your primary affiliation?;Academic (university/educational) 
118779166933;How would you classify your primary affiliation?;Academic (university/educational) 
118779158322;How would you classify your primary affiliation?;Consultancy
118779158302;How would you classify your primary affiliation?;Academic (university/educational) 
118779157898;How would you classify your primary affiliation?;Academic (university/educational) 
